p  x y rho rhoE rhoVel0 rhoVel1 s_rho s_rhoE s_rhoVel0 s_rhoVel1 H2 H O O2 OH H2O HO2 H2O2 C CH CH2 CH2(S) CH3 CH4 CO CO2 HCO CH2O CH2OH CH3O CH3OH C2H C2H2 C2H3 C2H4 C2H5 C2H6 HCCO CH2CO HCCOH N NH NH2 NH3 NNH NO NO2 N2O HNO CN HCN H2CN HCNN HCNO HOCN HNCO NCO AR C3H7 C3H8 CH2CHO CH3CHO N2 s_H2 s_H s_O s_O2 s_OH s_H2O s_HO2 s_H2O2 s_C s_CH s_CH2 s_CH2(S) s_CH3 s_CH4 s_CO s_CO2 s_HCO s_CH2O s_CH2OH s_CH3O s_CH3OH s_C2H s_C2H2 s_C2H3 s_C2H4 s_C2H5 s_C2H6 s_HCCO s_CH2CO s_HCCOH s_N s_NH s_NH2 s_NH3 s_NNH s_NO s_NO2 s_N2O s_HNO s_CN s_HCN s_H2CN s_HCNN s_HCNO s_HOCN s_HNCO s_NCO s_AR s_C3H7 s_C3H8 s_CH2CHO s_CH3CHO s_N2
6282 6.944748600530962 74.37080852517552 1.178739808122251 -101325 -1.136868377216159e-23 2.125027628183437e-40 0 1.812499628627748e-15 -1.136868377216157e-13 4.250055256366912e-30 -1.088383392729544e-127 -1.032200323783501e-88 7.398989972475889e-71 0.2707392123156612 -3.069308285486853e-101 -4.094724623746243e-103 1.200044981534004e-91 -9.280396760239176e-146 -6.633440331628738e-105 -7.222155541889367e-89 -6.387991882108292e-102 -1.072116028197872e-100 4.41444846610228e-123 5.363824981481299e-166 2.992006485415599e-95 1.239339433680684e-104 1.826706713396464e-92 2.02831731239411e-105 1.807362393787144e-118 7.076133320200579e-115 2.74732597574431e-156 1.971609926869023e-108 1.546114306942702e-125 2.631264522679959e-120 -2.457179568765076e-128 -8.46744706180565e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637134e-168 4.246493607353286e-107 9.573090247986318e-115 5.49465195148862e-156 -1.381979414345528e-167 1.408580611951892e-95 2.52541426757398e-114 2.614135612447214e-151 2.035390488771997e-70 6.707456828688391e-160 8.047557838278382e-113 -1.284870851789684e-106 -1.751072189814426e-162 2.461732796994492e-137 4.562065837300737e-205 4.562065837300737e-205 4.562065837300737e-205 1.568466642311879e-110 4.584896169390245e-210 -3.33417562432522e-203 -5.589021422166724e-210 -6.126679641423471e-113 4.719870086921857e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.398989972475885e-61 5.202719166704481e-22 -3.069308285486851e-91 -4.09472462374624e-93 1.200044981534003e-81 -9.280396760239169e-136 -6.633440331628734e-95 -7.222155541889361e-79 -6.387991882108287e-92 -1.072116028197872e-90 4.414448466102277e-113 5.363824981481296e-156 2.992006485415597e-85 1.239339433680683e-94 1.826706713396463e-82 2.028317312394109e-95 1.807362393787143e-108 7.076133320200574e-105 2.747325975744308e-146 1.971609926869021e-98 1.546114306942701e-115 2.631264522679957e-110 -2.457179568765074e-118 -8.467447061805644e-112 -2.74732597575948e-146 1.321504049423167e-109 -1.015221245961563e-124 -5.59878062463713e-158 4.246493607353284e-97 9.573090247986311e-105 5.494651951488616e-146 -1.381979414345528e-157 1.408580611951891e-85 2.525414267573979e-104 2.614135612447212e-141 2.035390488771995e-60 6.707456828688387e-150 8.047557838278377e-103 -1.284870851789683e-96 -1.751072189814425e-152 2.46173279699449e-127 4.562065837300733e-195 4.562065837300733e-195 4.562065837300733e-195 1.568466642311878e-100 4.584896169390242e-200 -3.334175624325217e-193 -5.589021422166721e-200 -6.126679641423467e-103 4.719870086921854e-136 -1.61514811665751e-21
12517 7.949751451053719 73.79488364517708 1.178739808122251 -101325 1.136868377216159e-23 -7.539189277984654e-40 0 -2.989151946183126e-16 1.136868377216158e-13 -1.507837855596931e-29 -1.088383392729545e-127 -1.032200323783502e-88 7.398989972475892e-71 0.2707392123156612 -3.069308285486854e-101 -4.094724623746244e-103 1.200044981534004e-91 -9.280396760239179e-146 -6.633440331628738e-105 -7.222155541889367e-89 -6.387991882108294e-102 -1.072116028197872e-100 4.414448466102281e-123 5.3638249814813e-166 2.9920064854156e-95 1.239339433680685e-104 1.826706713396465e-92 2.028317312394111e-105 1.807362393787144e-118 7.076133320200581e-115 2.747325975744311e-156 1.971609926869023e-108 1.546114306942702e-125 2.63126452267996e-120 -2.457179568765077e-128 -8.467447061805652e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637135e-168 4.246493607353288e-107 9.57309024798632e-115 5.494651951488622e-156 -1.381979414345529e-167 1.408580611951893e-95 2.525414267573981e-114 2.614135612447215e-151 2.035390488771997e-70 6.707456828688393e-160 8.047557838278384e-113 -1.284870851789685e-106 -1.751072189814427e-162 2.461732796994493e-137 4.562065837300738e-205 4.562065837300738e-205 4.562065837300738e-205 1.56846664231188e-110 4.584896169390246e-210 -3.334175624325221e-203 -5.589021422166726e-210 -6.126679641423474e-113 4.719870086921859e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.398989972475889e-61 -1.191509940824114e-22 -3.069308285486853e-91 -4.094724623746243e-93 1.200044981534004e-81 -9.280396760239175e-136 -6.633440331628738e-95 -7.222155541889366e-79 -6.387991882108291e-92 -1.072116028197872e-90 4.41444846610228e-113 5.363824981481298e-156 2.992006485415598e-85 1.239339433680684e-94 1.826706713396464e-82 2.02831731239411e-95 1.807362393787144e-108 7.076133320200579e-105 2.74732597574431e-146 1.971609926869023e-98 1.546114306942701e-115 2.631264522679959e-110 -2.457179568765076e-118 -8.46744706180565e-112 -2.747325975759481e-146 1.321504049423168e-109 -1.015221245961564e-124 -5.598780624637133e-158 4.246493607353286e-97 9.573090247986317e-105 5.494651951488619e-146 -1.381979414345528e-157 1.408580611951892e-85 2.52541426757398e-104 2.614135612447214e-141 2.035390488771997e-60 6.707456828688391e-150 8.047557838278381e-103 -1.284870851789684e-96 -1.751072189814426e-152 2.461732796994491e-127 4.562065837300736e-195 4.562065837300736e-195 4.562065837300736e-195 1.568466642311879e-100 4.584896169390245e-200 -3.334175624325219e-193 -5.589021422166724e-200 -6.126679641423471e-103 4.719870086921857e-136 -2.488715868029823e-21
13871 5.944748600530962 73.92422777993532 1.178739808122251 -101325 1.022115461213696e-38 1.136868377216158e-23 0 -7.307974447444086e-16 2.04423092242739e-28 1.136868377216157e-13 -1.088383392729544e-127 -1.032200323783501e-88 7.398989972475892e-71 0.2707392123156612 -3.069308285486853e-101 -4.094724623746244e-103 1.200044981534004e-91 -9.280396760239177e-146 -6.633440331628738e-105 -7.222155541889367e-89 -6.387991882108292e-102 -1.072116028197872e-100 4.414448466102281e-123 5.3638249814813e-166 2.9920064854156e-95 1.239339433680684e-104 1.826706713396464e-92 2.028317312394111e-105 1.807362393787144e-118 7.076133320200581e-115 2.74732597574431e-156 1.971609926869023e-108 1.546114306942702e-125 2.631264522679959e-120 -2.457179568765077e-128 -8.467447061805652e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637135e-168 4.246493607353287e-107 9.573090247986318e-115 5.49465195148862e-156 -1.381979414345529e-167 1.408580611951893e-95 2.525414267573981e-114 2.614135612447214e-151 2.035390488771997e-70 6.707456828688393e-160 8.047557838278384e-113 -1.284870851789684e-106 -1.751072189814426e-162 2.461732796994492e-137 4.562065837300738e-205 4.562065837300738e-205 4.562065837300738e-205 1.56846664231188e-110 4.584896169390246e-210 -3.33417562432522e-203 -5.589021422166726e-210 -6.126679641423473e-113 4.719870086921858e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.398989972475888e-61 -5.267500361100693e-22 -3.069308285486852e-91 -4.094724623746242e-93 1.200044981534003e-81 -9.280396760239174e-136 -6.633440331628736e-95 -7.222155541889365e-79 -6.38799188210829e-92 -1.072116028197872e-90 4.414448466102279e-113 5.363824981481297e-156 2.992006485415598e-85 1.239339433680684e-94 1.826706713396463e-82 2.02831731239411e-95 1.807362393787144e-108 7.076133320200577e-105 2.747325975744309e-146 1.971609926869022e-98 1.546114306942701e-115 2.631264522679958e-110 -2.457179568765075e-118 -8.467447061805648e-112 -2.747325975759481e-146 1.321504049423168e-109 -1.015221245961564e-124 -5.598780624637133e-158 4.246493607353285e-97 9.573090247986315e-105 5.494651951488619e-146 -1.381979414345528e-157 1.408580611951892e-85 2.52541426757398e-104 2.614135612447213e-141 2.035390488771996e-60 6.70745682868839e-150 8.04755783827838e-103 -1.284870851789684e-96 -1.751072189814426e-152 2.461732796994491e-127 4.562065837300736e-195 4.562065837300736e-195 4.562065837300736e-195 1.568466642311879e-100 4.584896169390244e-200 -3.334175624325219e-193 -5.589021422166723e-200 -6.12667964142347e-103 4.719870086921857e-136 2.563075485514127e-21
15061 5 -75.30046350000002 1.178739808122251 -101325 0 0 2.025248879381622e-24 -1.740912975784222e-19 0 0 0 0 0 0.2707392123156612 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005958065898 -0 -0 -0 4.65169906512641e-25 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 1.560078972868981e-24
6284 4.932018608077263 -74.38935096613136 1.178739808122251 -101325 3.315990231947258e-39 9.151852014515341e-40 0 -2.453054658513668e-16 6.631980463894506e-29 1.830370402903062e-29 -1.088383392729544e-127 -1.032200323783501e-88 7.398989972475889e-71 0.2707392123156612 -3.069308285486853e-101 -4.094724623746243e-103 1.200044981534004e-91 -9.280396760239176e-146 -6.633440331628738e-105 -7.222155541889367e-89 -6.387991882108291e-102 -1.072116028197872e-100 4.41444846610228e-123 5.363824981481299e-166 2.992006485415599e-95 1.239339433680684e-104 1.826706713396464e-92 2.02831731239411e-105 1.807362393787144e-118 7.076133320200579e-115 2.74732597574431e-156 1.971609926869023e-108 1.546114306942702e-125 2.631264522679959e-120 -2.457179568765076e-128 -8.46744706180565e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637134e-168 4.246493607353286e-107 9.573090247986318e-115 5.49465195148862e-156 -1.381979414345528e-167 1.408580611951892e-95 2.52541426757398e-114 2.614135612447214e-151 2.035390488771997e-70 6.707456828688391e-160 8.047557838278382e-113 -1.284870851789684e-106 -1.751072189814426e-162 2.461732796994492e-137 4.562065837300737e-205 4.562065837300737e-205 4.562065837300737e-205 1.568466642311879e-110 4.584896169390245e-210 -3.334175624325219e-203 -5.589021422166724e-210 -6.126679641423471e-113 4.719870086921857e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.398989972475885e-61 5.175924666319299e-22 -3.069308285486851e-91 -4.09472462374624e-93 1.200044981534003e-81 -9.280396760239169e-136 -6.633440331628733e-95 -7.222155541889361e-79 -6.387991882108287e-92 -1.072116028197872e-90 4.414448466102277e-113 5.363824981481295e-156 2.992006485415597e-85 1.239339433680683e-94 1.826706713396463e-82 2.028317312394109e-95 1.807362393787143e-108 7.076133320200574e-105 2.747325975744308e-146 1.971609926869021e-98 1.546114306942701e-115 2.631264522679957e-110 -2.457179568765074e-118 -8.467447061805644e-112 -2.74732597575948e-146 1.321504049423167e-109 -1.015221245961563e-124 -5.59878062463713e-158 4.246493607353283e-97 9.573090247986311e-105 5.494651951488616e-146 -1.381979414345528e-157 1.408580611951891e-85 2.525414267573979e-104 2.614135612447212e-141 2.035390488771995e-60 6.707456828688387e-150 8.047557838278376e-103 -1.284870851789683e-96 -1.751072189814425e-152 2.46173279699449e-127 4.562065837300733e-195 4.562065837300733e-195 4.562065837300733e-195 1.568466642311878e-100 4.584896169390242e-200 -3.334175624325217e-193 -5.589021422166721e-200 -6.126679641423467e-103 4.719870086921854e-136 -2.930634228790122e-22
6278 5.925543577082721 -73.74804829107525 1.178739808122251 -101325 -1.136868377216159e-23 5.684341886080797e-24 0 5.287963121874755e-16 -1.136868377216158e-13 5.684341886080792e-14 -1.088383392729545e-127 -1.032200323783502e-88 7.398989972475892e-71 0.2707392123156612 -3.069308285486854e-101 -4.094724623746244e-103 1.200044981534004e-91 -9.280396760239179e-146 -6.63344033162874e-105 -7.222155541889367e-89 -6.387991882108294e-102 -1.072116028197873e-100 4.414448466102282e-123 5.363824981481301e-166 2.9920064854156e-95 1.239339433680685e-104 1.826706713396465e-92 2.028317312394111e-105 1.807362393787144e-118 7.076133320200582e-115 2.747325975744311e-156 1.971609926869023e-108 1.546114306942702e-125 2.63126452267996e-120 -2.457179568765077e-128 -8.467447061805653e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637136e-168 4.246493607353288e-107 9.57309024798632e-115 5.494651951488622e-156 -1.381979414345529e-167 1.408580611951893e-95 2.525414267573981e-114 2.614135612447215e-151 2.035390488771997e-70 6.707456828688393e-160 8.047557838278384e-113 -1.284870851789685e-106 -1.751072189814427e-162 2.461732796994493e-137 4.562065837300738e-205 4.562065837300738e-205 4.562065837300738e-205 1.56846664231188e-110 4.584896169390247e-210 -3.334175624325221e-203 -5.589021422166726e-210 -6.126679641423474e-113 4.719870086921859e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.39898997247589e-61 -4.736756209009974e-22 -3.069308285486853e-91 -4.094724623746243e-93 1.200044981534004e-81 -9.280396760239175e-136 -6.633440331628738e-95 -7.222155541889366e-79 -6.387991882108291e-92 -1.072116028197872e-90 4.41444846610228e-113 5.363824981481299e-156 2.992006485415599e-85 1.239339433680684e-94 1.826706713396464e-82 2.02831731239411e-95 1.807362393787144e-108 7.076133320200579e-105 2.74732597574431e-146 1.971609926869023e-98 1.546114306942702e-115 2.631264522679959e-110 -2.457179568765076e-118 -8.46744706180565e-112 -2.747325975759481e-146 1.321504049423168e-109 -1.015221245961564e-124 -5.598780624637134e-158 4.246493607353287e-97 9.573090247986317e-105 5.494651951488619e-146 -1.381979414345528e-157 1.408580611951892e-85 2.52541426757398e-104 2.614135612447214e-141 2.035390488771997e-60 6.707456828688391e-150 8.047557838278382e-103 -1.284870851789684e-96 -1.751072189814426e-152 2.461732796994491e-127 4.562065837300736e-195 4.562065837300736e-195 4.562065837300736e-195 1.568466642311879e-100 4.584896169390245e-200 -3.33417562432522e-193 -5.589021422166724e-200 -6.126679641423471e-103 4.719870086921857e-136 2.450324760767533e-21
6283 3.904232428882125 -73.83148521823352 1.178739808122251 -101325 -5.682420376379588e-39 -1.13686837721616e-23 0 -7.910807365658266e-16 -1.136484075275916e-28 -1.136868377216159e-13 -1.088383392729545e-127 -1.032200323783502e-88 7.398989972475892e-71 0.2707392123156612 -3.069308285486854e-101 -4.094724623746244e-103 1.200044981534004e-91 -9.280396760239179e-146 -6.633440331628738e-105 -7.222155541889367e-89 -6.387991882108292e-102 -1.072116028197872e-100 4.414448466102281e-123 5.3638249814813e-166 2.9920064854156e-95 1.239339433680684e-104 1.826706713396465e-92 2.028317312394111e-105 1.807362393787144e-118 7.076133320200581e-115 2.747325975744311e-156 1.971609926869023e-108 1.546114306942702e-125 2.63126452267996e-120 -2.457179568765077e-128 -8.467447061805652e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637135e-168 4.246493607353287e-107 9.57309024798632e-115 5.494651951488622e-156 -1.381979414345529e-167 1.408580611951893e-95 2.525414267573981e-114 2.614135612447215e-151 2.035390488771997e-70 6.707456828688393e-160 8.047557838278384e-113 -1.284870851789685e-106 -1.751072189814427e-162 2.461732796994493e-137 4.562065837300738e-205 4.562065837300738e-205 4.562065837300738e-205 1.56846664231188e-110 4.584896169390246e-210 -3.334175624325221e-203 -5.589021422166726e-210 -6.126679641423474e-113 4.719870086921859e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.398989972475889e-61 -1.115039374373783e-21 -3.069308285486853e-91 -4.094724623746242e-93 1.200044981534004e-81 -9.280396760239175e-136 -6.633440331628736e-95 -7.222155541889366e-79 -6.387991882108291e-92 -1.072116028197872e-90 4.414448466102279e-113 5.363824981481298e-156 2.992006485415598e-85 1.239339433680684e-94 1.826706713396464e-82 2.02831731239411e-95 1.807362393787144e-108 7.076133320200579e-105 2.747325975744309e-146 1.971609926869023e-98 1.546114306942701e-115 2.631264522679958e-110 -2.457179568765076e-118 -8.46744706180565e-112 -2.747325975759481e-146 1.321504049423168e-109 -1.015221245961564e-124 -5.598780624637133e-158 4.246493607353286e-97 9.573090247986315e-105 5.494651951488619e-146 -1.381979414345528e-157 1.408580611951892e-85 2.52541426757398e-104 2.614135612447214e-141 2.035390488771997e-60 6.70745682868839e-150 8.047557838278381e-103 -1.284870851789684e-96 -1.751072189814426e-152 2.461732796994491e-127 4.562065837300736e-195 4.562065837300736e-195 4.562065837300736e-195 1.568466642311879e-100 4.584896169390244e-200 -3.334175624325219e-193 -5.589021422166723e-200 -6.12667964142347e-103 4.719870086921857e-136 -1.082029616046831e-21
15063 3 -75.30046350000002 1.178739808122251 -101325 0 0 6.313038312663887e-24 -5.426715909846721e-19 0 0 0 0 0 0.2707392123156612 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9080005958065898 -0 -0 -0 1.45001213016804e-24 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 4.863026182495847e-24
6286 2.972213820804863 -74.44213425210216 1.178739808122251 -101325 -5.310122050089669e-39 -2.666495964202649e-39 0 5.215677305241178e-16 -1.062024410017932e-28 -5.332991928405296e-29 -1.088383392729544e-127 -1.032200323783501e-88 7.398989972475889e-71 0.2707392123156612 -3.069308285486853e-101 -4.094724623746242e-103 1.200044981534004e-91 -9.280396760239176e-146 -6.633440331628737e-105 -7.222155541889364e-89 -6.387991882108291e-102 -1.072116028197872e-100 4.41444846610228e-123 5.363824981481299e-166 2.992006485415599e-95 1.239339433680684e-104 1.826706713396464e-92 2.02831731239411e-105 1.807362393787144e-118 7.076133320200578e-115 2.747325975744309e-156 1.971609926869022e-108 1.546114306942702e-125 2.631264522679958e-120 -2.457179568765076e-128 -8.467447061805648e-122 -2.747325975759481e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637133e-168 4.246493607353286e-107 9.573090247986314e-115 5.494651951488619e-156 -1.381979414345528e-167 1.408580611951892e-95 2.52541426757398e-114 2.614135612447214e-151 2.035390488771996e-70 6.707456828688391e-160 8.047557838278382e-113 -1.284870851789684e-106 -1.751072189814426e-162 2.461732796994491e-137 4.562065837300736e-205 4.562065837300736e-205 4.562065837300736e-205 1.568466642311879e-110 4.584896169390244e-210 -3.334175624325219e-203 -5.589021422166723e-210 -6.12667964142347e-113 4.719870086921857e-146 0.9080005958065898 -1.088383392729544e-117 -1.0322003237835e-78 7.398989972475883e-61 -9.825618036620862e-23 -3.06930828548685e-91 -4.09472462374624e-93 1.200044981534003e-81 -9.280396760239168e-136 -6.633440331628731e-95 -7.22215554188936e-79 -6.387991882108286e-92 -1.072116028197871e-90 4.414448466102276e-113 5.363824981481294e-156 2.992006485415596e-85 1.239339433680683e-94 1.826706713396462e-82 2.028317312394108e-95 1.807362393787142e-108 7.076133320200572e-105 2.747325975744308e-146 1.971609926869021e-98 1.5461143069427e-115 2.631264522679956e-110 -2.457179568765074e-118 -8.467447061805642e-112 -2.747325975759479e-146 1.321504049423167e-109 -1.015221245961563e-124 -5.598780624637129e-158 4.246493607353282e-97 9.573090247986309e-105 5.494651951488615e-146 -1.381979414345527e-157 1.408580611951891e-85 2.525414267573978e-104 2.614135612447212e-141 2.035390488771995e-60 6.707456828688386e-150 8.047557838278375e-103 -1.284870851789683e-96 -1.751072189814424e-152 2.461732796994489e-127 4.562065837300732e-195 4.562065837300732e-195 4.562065837300732e-195 1.568466642311878e-100 4.584896169390241e-200 -3.334175624325216e-193 -5.589021422166719e-200 -6.126679641423466e-103 4.719870086921854e-136 1.459337083672979e-21
6283 3.904232428882125 -73.83148521823352 1.178739808122251 -101325 -5.682420376379588e-39 -1.13686837721616e-23 0 -7.910807365658266e-16 -1.136484075275916e-28 -1.136868377216159e-13 -1.088383392729545e-127 -1.032200323783502e-88 7.398989972475892e-71 0.2707392123156612 -3.069308285486854e-101 -4.094724623746244e-103 1.200044981534004e-91 -9.280396760239179e-146 -6.633440331628738e-105 -7.222155541889367e-89 -6.387991882108292e-102 -1.072116028197872e-100 4.414448466102281e-123 5.3638249814813e-166 2.9920064854156e-95 1.239339433680684e-104 1.826706713396465e-92 2.028317312394111e-105 1.807362393787144e-118 7.076133320200581e-115 2.747325975744311e-156 1.971609926869023e-108 1.546114306942702e-125 2.63126452267996e-120 -2.457179568765077e-128 -8.467447061805652e-122 -2.747325975759482e-156 1.321504049423168e-119 -1.015221245961564e-134 -5.598780624637135e-168 4.246493607353287e-107 9.57309024798632e-115 5.494651951488622e-156 -1.381979414345529e-167 1.408580611951893e-95 2.525414267573981e-114 2.614135612447215e-151 2.035390488771997e-70 6.707456828688393e-160 8.047557838278384e-113 -1.284870851789685e-106 -1.751072189814427e-162 2.461732796994493e-137 4.562065837300738e-205 4.562065837300738e-205 4.562065837300738e-205 1.56846664231188e-110 4.584896169390246e-210 -3.334175624325221e-203 -5.589021422166726e-210 -6.126679641423474e-113 4.719870086921859e-146 0.9080005958065898 -1.088383392729544e-117 -1.032200323783501e-78 7.398989972475889e-61 -1.115039374373783e-21 -3.069308285486853e-91 -4.094724623746242e-93 1.200044981534004e-81 -9.280396760239175e-136 -6.633440331628736e-95 -7.222155541889366e-79 -6.387991882108291e-92 -1.072116028197872e-90 4.414448466102279e-113 5.363824981481298e-156 2.992006485415598e-85 1.239339433680684e-94 1.826706713396464e-82 2.02831731239411e-95 1.807362393787144e-108 7.076133320200579e-105 2.747325975744309e-146 1.971609926869023e-98 1.546114306942701e-115 2.631264522679958e-110 -2.457179568765076e-118 -8.46744706180565e-112 -2.747325975759481e-146 1.321504049423168e-109 -1.015221245961564e-124 -5.598780624637133e-158 4.246493607353286e-97 9.573090247986315e-105 5.494651951488619e-146 -1.381979414345528e-157 1.408580611951892e-85 2.52541426757398e-104 2.614135612447214e-141 2.035390488771997e-60 6.70745682868839e-150 8.047557838278381e-103 -1.284870851789684e-96 -1.751072189814426e-152 2.461732796994491e-127 4.562065837300736e-195 4.562065837300736e-195 4.562065837300736e-195 1.568466642311879e-100 4.584896169390244e-200 -3.334175624325219e-193 -5.589021422166723e-200 -6.12667964142347e-103 4.719870086921857e-136 -1.082029616046831e-21
